year,ward_number,legacy_education,legacy_graduate,legacy_cases,education_raw,graduate_plus,pending_cases,source_url,graduate_disagreement
2012,135,Illiterate,0,0,8th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=230,FALSE
2012,196,8th Pass,0,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=602,FALSE
2012,213,Graduate,1,0,NA,NA,NA,NA,NA
2012,69,8th Pass,0,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=169,TRUE
2012,143,NA,NA,0,8th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=240,NA
2012,29,5th Pass,0,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=446,FALSE
2012,100,12th Pass,0,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=200,FALSE
2012,266,Literate,0,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=397,FALSE
2012,271,Post Graduate,1,0,NA,NA,NA,NA,NA
2012,258,8th Pass,0,0,NA,NA,NA,NA,NA
2012,91,Graduate Professional,1,2,12th Pass,0,2,https://www.myneta.info/mcd2012/candidate.php?candidate_id=191,TRUE
2012,77,12th Pass,0,0,Graduate Professional,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=493,TRUE
2012,157,Post Graduate,1,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=564,TRUE
2012,269,10th Pass,0,0,NA,NA,NA,NA,NA
2012,181,Graduate Professional,1,1,12th Pass,0,2,https://www.myneta.info/mcd2012/candidate.php?candidate_id=312,TRUE
2012,140,Post Graduate,1,0,Unknown,NA,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=235,NA
2012,214,Graduate,1,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=1170,FALSE
2012,108,5th Pass,0,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=1115,TRUE
2012,35,8th Pass,0,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=1056,TRUE
2012,97,NA,NA,0,8th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=197,NA
2012,75,NA,NA,1,10th Pass,0,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=491,NA
2012,221,8th Pass,0,3,Graduate Professional,1,3,https://www.myneta.info/mcd2012/candidate.php?candidate_id=352,TRUE
2012,172,Graduate,1,0,NA,NA,NA,NA,NA
2012,63,NA,NA,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=163,NA
2012,215,NA,NA,0,Graduate Professional,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=1173,NA
2012,158,Graduate,1,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=2222,FALSE
2012,229,Literate,0,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=360,FALSE
2012,82,10th Pass,0,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=1919,FALSE
2012,121,8th Pass,0,1,Graduate Professional,1,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=216,TRUE
2012,169,Graduate,1,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=2352,TRUE
2012,155,8th Pass,0,0,5th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=562,FALSE
2012,222,8th Pass,0,0,Post Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=353,TRUE
2012,18,NA,NA,0,10th Pass,0,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=407,NA
2012,183,5th Pass,0,0,8th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=2620,FALSE
2012,207,NA,NA,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=1025,NA
2012,148,8th Pass,0,1,Graduate Professional,1,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=245,TRUE
2012,104,10th Pass,0,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=773,FALSE
2012,147,Post Graduate,1,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=1680,TRUE
2012,113,Literate,0,0,Post Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=210,TRUE
2012,144,8th Pass,0,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=1614,TRUE
2012,78,8th Pass,0,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=494,FALSE
2012,115,NA,NA,1,12th Pass,0,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=417,NA
2012,9,Others,NA,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=426,NA
2012,161,Graduate,1,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=292,FALSE
2012,218,Graduate,1,0,Literate,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=349,TRUE
2012,130,8th Pass,0,1,8th Pass,0,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=542,FALSE
2012,47,Post Graduate,1,0,Graduate,1,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=1951,FALSE
2012,46,8th Pass,0,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=463,FALSE
2012,38,10th Pass,0,0,NA,NA,NA,NA,NA
2012,48,12th Pass,0,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=1965,TRUE
2012,98,12th Pass,0,0,Others,NA,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=198,NA
2012,136,10th Pass,0,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=231,FALSE
2012,252,NA,NA,1,NA,NA,NA,NA,NA
2012,209,10th Pass,0,0,Unknown,NA,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=619,NA
2012,219,5th Pass,0,2,10th Pass,0,3,https://www.myneta.info/mcd2012/candidate.php?candidate_id=350,FALSE
2012,202,NA,NA,0,NA,NA,NA,NA,NA
2012,170,NA,NA,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=2355,NA
2012,119,Not Given,NA,1,8th Pass,0,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=214,NA
2012,81,Literate,0,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=497,FALSE
2012,90,Graduate Professional,1,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=506,TRUE
2012,72,5th Pass,0,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=172,TRUE
2012,125,Graduate Professional,1,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=537,TRUE
2012,204,10th Pass,0,0,NA,NA,NA,NA,NA
2012,99,5th Pass,0,1,10th Pass,0,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=199,FALSE
2012,11,Illiterate,0,0,Doctorate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=117,TRUE
2012,6,Graduate Professional,1,1,10th Pass,0,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=6,TRUE
2012,30,8th Pass,0,1,Graduate,1,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=133,TRUE
2012,166,8th Pass,0,0,NA,NA,NA,NA,NA
2012,268,NA,NA,0,Literate,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=682,NA
2012,52,8th Pass,0,NA,NA,NA,NA,NA,NA
2012,138,Others,NA,0,10th Pass,0,4,https://www.myneta.info/mcd2012/candidate.php?candidate_id=2250,NA
2012,168,Post Graduate,1,1,Graduate,1,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=299,FALSE
2012,243,NA,NA,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=657,NA
2012,110,Post Graduate,1,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=208,TRUE
2012,134,Post Graduate,1,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=2211,TRUE
2012,43,NA,NA,0,Post Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=460,NA
2012,31,10th Pass,0,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=448,FALSE
2012,152,Graduate Professional,1,NA,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=1086,TRUE
2012,1,Graduate,1,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=108,TRUE
2012,126,Post Graduate,1,0,8th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=2133,TRUE
2012,267,12th Pass,0,1,8th Pass,0,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=681,FALSE
2012,212,10th Pass,0,0,Not Given,NA,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=343,NA
2012,96,10th Pass,0,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=196,TRUE
2012,242,8th Pass,0,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=373,TRUE
2012,251,12th Pass,0,0,NA,NA,NA,NA,NA
2012,32,10th Pass,0,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=1728,FALSE
2012,65,Graduate,1,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=481,FALSE
2012,34,8th Pass,0,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=136,FALSE
2012,154,8th Pass,0,1,Graduate,1,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=561,TRUE
2012,206,8th Pass,0,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=856,FALSE
2012,89,10th Pass,0,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=189,FALSE
2012,145,Graduate,1,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=1644,FALSE
2012,224,12th Pass,0,1,Graduate Professional,1,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=355,TRUE
2012,58,10th Pass,0,0,Graduate Professional,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=158,TRUE
2012,57,Graduate,1,0,Graduate Professional,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=157,FALSE
2012,220,NA,NA,1,12th Pass,0,3,https://www.myneta.info/mcd2012/candidate.php?candidate_id=351,NA
2012,42,12th Pass,0,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=459,FALSE
2012,54,Not Given,NA,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=155,NA
2012,53,NA,NA,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=154,NA
2012,25,Graduate,1,0,NA,NA,NA,NA,NA
2012,33,12th Pass,0,0,8th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=135,FALSE
2012,228,5th Pass,0,0,NA,NA,NA,NA,NA
2012,36,10th Pass,0,1,Graduate,1,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=1789,TRUE
2012,198,5th Pass,0,0,Illiterate,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=329,FALSE
2012,103,Graduate,1,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=413,TRUE
2012,150,10th Pass,0,NA,5th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=616,FALSE
2012,184,5th Pass,0,1,10th Pass,0,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=315,FALSE
2012,88,12th Pass,0,0,8th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=188,FALSE
2012,44,Not Given,NA,1,Graduate,1,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=145,NA
2012,167,10th Pass,0,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=2339,FALSE
2012,236,NA,NA,1,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=648,NA
2012,102,Not Given,NA,0,Others,NA,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=517,NA
2012,142,NA,NA,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=1587,NA
2012,101,Illiterate,0,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=201,TRUE
2012,149,10th Pass,0,NA,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=409,FALSE
2012,105,10th Pass,0,2,12th Pass,0,2,https://www.myneta.info/mcd2012/candidate.php?candidate_id=204,FALSE
2012,87,Illiterate,0,0,8th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=186,FALSE
2012,247,8th Pass,0,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=378,TRUE
2012,62,Graduate,1,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=478,TRUE
2012,70,12th Pass,0,1,Graduate,1,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=170,TRUE
2012,59,5th Pass,0,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=475,FALSE
2012,22,NA,NA,0,Post Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=439,NA
2012,21,12th Pass,0,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=124,TRUE
2012,50,Graduate,1,0,Doctorate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=151,FALSE
2012,51,Graduate,1,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=152,FALSE
2012,49,12th Pass,0,1,Graduate,1,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=150,TRUE
2012,45,Graduate,1,0,5th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=146,TRUE
2012,137,NA,NA,0,Post Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=2243,NA
2012,263,Post Graduate,1,1,Post Graduate,1,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=394,FALSE
2012,146,10th Pass,0,1,10th Pass,0,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=243,FALSE
2012,163,12th Pass,0,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=294,TRUE
2012,131,Graduate Professional,1,0,Post Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=2161,FALSE
2012,132,12th Pass,0,0,5th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=2169,FALSE
2012,26,12th Pass,0,0,NA,NA,NA,NA,NA
2012,173,8th Pass,0,1,Graduate,1,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=304,TRUE
2012,17,NA,NA,0,NA,NA,NA,NA,NA
2012,71,8th Pass,0,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=171,FALSE
2012,177,10th Pass,0,1,Graduate Professional,1,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=308,TRUE
2012,187,Not Given,NA,NA,8th Pass,0,6,https://www.myneta.info/mcd2012/candidate.php?candidate_id=2558,NA
2012,188,8th Pass,0,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=319,FALSE
2012,186,12th Pass,0,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=317,FALSE
2012,15,Illiterate,0,1,10th Pass,0,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=284,FALSE
2012,208,12th Pass,0,0,NA,NA,NA,NA,NA
2012,60,8th Pass,0,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=476,TRUE
2012,66,Graduate,1,0,Graduate Professional,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=166,FALSE
2012,237,8th Pass,0,0,5th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=368,FALSE
2012,191,NA,NA,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=322,NA
2012,223,NA,NA,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=354,NA
2012,64,NA,NA,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=164,NA
2012,55,10th Pass,0,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=1465,TRUE
2012,56,8th Pass,0,0,Post Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=156,TRUE
2012,73,5th class,0,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=173,FALSE
2012,265,Illiterate,0,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=396,FALSE
2012,120,10th Pass,0,0,NA,NA,NA,NA,NA
2012,272,10th Pass,0,0,Doctorate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=403,TRUE
2012,193,10th Pass,0,1,Post Graduate,1,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=599,TRUE
2012,257,Graduate,1,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=671,TRUE
2012,112,Not Given,NA,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=524,NA
2012,39,5th Pass,0,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=75,FALSE
2012,37,Post Graduate,1,0,8th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=139,TRUE
2012,40,8th Pass,0,0,Not Given,NA,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=1851,NA
2012,244,10th Pass,0,0,Literate,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=375,FALSE
2012,106,8th Pass,0,0,NA,NA,NA,NA,NA
2012,199,10th Pass,0,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=1042,FALSE
2012,179,12th Pass,0,0,8th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=2592,FALSE
2012,114,8th Pass,0,0,Post Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=416,TRUE
2012,10,10th Pass,0,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=427,TRUE
